country,region,population,area,gdp,life_expect,birth_rate,fertility_rate,death_rate,infant_mortality
Mali,Sub-Saharan Africa,19658031,1240190,879.0080104,59.306,41.035,164.6066,9.412,60.2
Malta,Middle East & North Africa,504062,320,29737.24598,82.6,8.6,12.1142,7.3,6.1
Mauritania,Sub-Saharan Africa,4525696,1030700,1679.444873,64.925,33.262,68.207,7.118,50.1
Mauritius,Sub-Saharan Africa,1265711,2040,11099.24028,74.23585366,10.2,24.8222,8.8,14.3
Mexico,Latin America & Caribbean,127575529,1964375,9946.033829,75.054,17.297,58.5434,6.082,12.2
"Micronesia, Fed. Sts.",East Asia & Pacific,113815,700,,67.883,22.712,12.5308,6.615,24.5
Moldova,Europe & Central Asia,2663251,33850,4494.023797,71.901,9.93,21.9454,11.694,12.4
Mongolia,East Asia & Pacific,3225167,1564116,4339.843279,69.87,23.361,31.8838,6.335,13.4
Montenegro,Europe & Central Asia,622028,13810,8910.495934,76.884,11.671,8.249,10.751,2
Morocco,Middle East & North Africa,36471769,446550,3204.095003,76.68,18.5,30.328,5.057,18.3
Mozambique,Sub-Saharan Africa,30366036,799380,503.5707727,60.854,37.166,143.8756,8.208,54.8
Myanmar,East Asia & Pacific,54045420,676590,1407.813143,67.134,17.397,27.9042,8.215,35.8
Namibia,Sub-Saharan Africa,2494530,824290,4957.458222,63.708,28.152,59.637,7.894,30.7
Nepal,South Asia,28608710,147180,1071.050761,70.778,19.578,63.677,6.322,25.6
Netherlands,Europe & Central Asia,17344874,41540,52295.03905,82.01219512,9.7,3.6176,8.8,3.5
New Caledonia,East Asia & Pacific,287800,18580,,77.63414634,14,14.0804,5.8,
New Zealand,East Asia & Pacific,4979300,267710,41557.80241,81.70731707,11.96,17.9392,6.87,3.9
Nicaragua,Latin America & Caribbean,6545502,130370,1912.903745,74.485,20.215,81.6196,5.075,14.3
Niger,Sub-Saharan Africa,23310715,1267000,553.8950504,62.42,45.637,180.4888,8.033,46.7
Nigeria,Sub-Saharan Africa,200963599,923770,2229.858696,54.687,37.446,103.564,11.63,74.2
North Macedonia,Europe & Central Asia,2083459,25710,6022.216179,75.797,10.653,14.601,10.139,5.3
Norway,Europe & Central Asia,5347896,625221.59,75419.63487,82.90731707,10.2,5.0686,7.6,2
Oman,Middle East & North Africa,4974986,309500,15343.062,77.861,18.513,12.3368,2.422,9.8
Pakistan,South Asia,216565318,796100,1284.702041,67.273,27.841,37.6192,6.893,55.7
Panama,Latin America & Caribbean,4246439,75320,15731.01603,78.506,18.705,80.2492,5.108,12.8
Papua New Guinea,East Asia & Pacific,8776109,462840,2829.170309,64.501,26.793,51.309,7.352,35.9
Paraguay,Latin America & Caribbean,7044636,406752,5414.799138,74.254,20.341,69.8608,5.539,16.6
Peru,Latin America & Caribbean,32510453,1285220,6977.695784,76.736,17.756,55.0216,5.579,10.3
Philippines,East Asia & Pacific,108116615,300000,3485.084218,71.231,20.166,55.3644,5.92,21.6
Poland,Europe & Central Asia,37965475,312690,15694.73863,77.85609756,9.9,9.8004,10.8,3.8
Portugal,Europe & Central Asia,10286263,92225.6,23213.9782,80.68292683,8.4,7.6224,10.9,3.1
Puerto Rico,Latin America & Caribbean,3193694,8870,32873.71927,79.9285122,6.4,27.5156,9.4,
Qatar,Middle East & North Africa,2832067,11490,62088.06183,80.227,9.385,9.2572,1.244,5.6
Romania,Europe & Central Asia,19366221,238400,12913.07396,75.45853659,9.6,34.859,13.4,5.7
Russian Federation,Europe & Central Asia,144406261,17098250,11584.99538,73.08390244,9.8,18.5402,13.3,4.9
Rwanda,Sub-Saharan Africa,12626950,26340,820.0252417,69.024,31.249,38.59,5.123,26.3
Samoa,East Asia & Pacific,197097,2840,4324.014018,73.321,24.1,22.7044,5.202,12.9
Sao Tome and Principe,Sub-Saharan Africa,215056,960,1946.643614,70.385,31.152,92.0652,4.761,23.5
Saudi Arabia,Middle East & North Africa,34268528,2149690,23139.79866,75.133,17.297,6.87,3.505,5.7
Senegal,Sub-Saharan Africa,16296364,196710,1446.830965,67.941,33.952,68.707,5.596,32.7
Serbia,Europe & Central Asia,6945235,88360,7411.558649,75.68536585,9.3,13.5828,14.6,4.6
Seychelles,Sub-Saharan Africa,97625,460,17448.27029,73.94390244,16.4,60.3988,8.1,12.3
Sierra Leone,Sub-Saharan Africa,7813215,72300,527.5336344,54.696,32.879,107.6284,11.512,80.9
Singapore,East Asia & Pacific,5703569,719,65233.28244,83.49756098,8.8,3.4968,5,2.1
Slovak Republic,Europe & Central Asia,5454147,49030,19266.0141,77.47073171,10.5,26.1864,9.8,4.7
Slovenia,Europe & Central Asia,2088385,20480,25940.72803,81.2804878,9.3,3.5288,9.9,1.7
Solomon Islands,East Asia & Pacific,669823,28900,2373.63247,72.996,31.956,78.8202,4.232,16.8
Somalia,Sub-Saharan Africa,15442905,637660,,57.397,41.585,95.2054,10.669,74
South Africa,Sub-Saharan Africa,58558267,1219090,6001.401121,64.131,20.129,67.7896,9.398,27.5
South Sudan,Sub-Saharan Africa,11062113,633906.576,,57.846,34.653,56.8264,10.342,62.4
Spain,Europe & Central Asia,47133521,505957.289,29564.7449,83.48536585,7.6,7.2558,8.8,2.6
Sri Lanka,South Asia,21803000,65610,3853.083693,76.978,15.544,20.4548,6.75,6.1
St. Lucia,Latin America & Caribbean,182790,620,11611.41545,76.203,11.839,39.2224,7.263,20
St. Vincent and the Grenadines,Latin America & Caribbean,110589,390,7457.509504,72.534,14.087,47.3596,9.336,13.4
Sudan,Sub-Saharan Africa,42813238,1854105.405,441.5056034,65.311,31.826,57.599,7.117,41
Suriname,Latin America & Caribbean,581363,163820,6359.833614,71.682,18.295,59.6242,7.393,16.1
Sweden,Europe & Central Asia,10278887,447430,51647.99156,82.95853659,11.1,5.1692,8.6,2.1
Switzerland,Europe & Central Asia,8575280,41290.39,81989.44351,83.70487805,10,2.5246,7.9,3.6
Syrian Arab Republic,Middle East & North Africa,17070135,185180,,72.697,23.22,37.3104,5.112,17.9
Tajikistan,Europe & Central Asia,9321018,141380,870.7875893,71.097,30.038,57.8652,4.767,29.6
Tanzania,Sub-Saharan Africa,58005463,947300,1122.12181,65.456,36.336,115.467,6.254,36
Thailand,East Asia & Pacific,69625582,513120,7806.742211,77.15,10.168,44.4696,7.786,7.7
Timor-Leste,East Asia & Pacific,1293119,14870,1560.509822,69.495,29.284,30.943,5.943,38.1
Togo,Sub-Saharan Africa,8082366,56790,679.2902491,61.042,32.707,88.2846,8.324,45.8
Tonga,East Asia & Pacific,104494,750,4903.152903,70.907,24.01,13.9984,7.102,14.3
Trinidad and Tobago,Latin America & Caribbean,1394973,5130,17397.98176,73.507,12.578,28.5776,8.5,15.7
Tunisia,Middle East & North Africa,11694719,163610,3317.453593,76.699,17.089,7.859,6.257,14.5
Turkey,Europe & Central Asia,83429615,785350,9126.561346,77.691,15.782,24.5526,5.443,8.6
Turkmenistan,Europe & Central Asia,5942089,488100,,68.191,23.066,24.0468,7.04,36.3
Uganda,Sub-Saharan Africa,44269594,241550,794.3410779,63.368,37.377,113.3068,6.381,33.4
Ukraine,Europe & Central Asia,44386203,603550,3659.031312,71.82731707,8.1,22.2942,14.7,7.2
United Arab Emirates,Middle East & North Africa,9770529,98647.9,43103.32306,77.972,10.223,5.2276,1.521,6.4
United Kingdom,Europe & Central Asia,66836327,243610,42328.90026,81.20487805,10.7,11.912,9,3.7
United States,North America,328239523,9831510,65297.51751,78.78780488,11.4,17.2524,8.7,5.6
Uruguay,Latin America & Caribbean,3461734,176220,16190.12696,77.911,13.74,57.7502,9.473,6.1
Uzbekistan,Europe & Central Asia,33580350,448924,1724.856544,71.725,24.3,24.6288,4.6,15.6
Vanuatu,East Asia & Pacific,299882,12190,3115.35862,70.474,29.175,48.3794,5.197,21.9
"Venezuela, RB",Latin America & Caribbean,28515829,912050,,72.064,17.566,84.6214,7.118,21
Vietnam,East Asia & Pacific,96462106,331230,2715.276036,75.4,16.454,27.3746,6.38,15.9
Virgin Islands (U.S.),Latin America & Caribbean,106669,350,,79.66829268,12.3,26.4094,8.2,
West Bank and Gaza,Middle East & North Africa,4685306,6020,,74.053,28.717,50.9996,3.455,16.6
"Yemen, Rep.",Middle East & North Africa,29161922,527970,774.3344898,66.125,29.873,57.9728,5.983,43.6
Zambia,Sub-Saharan Africa,17861030,752610,1305.063254,63.886,35.776,116.4976,6.321,42.4
Zimbabwe,Sub-Saharan Africa,14645468,390760,1463.98591,61.49,29.747,80.3622,7.773,38.4
